,Week,CRN,Subject,Course Name,Student ID,Remote Learner,Mon,Tue,Wed,Thu,Fri,Sat,Sun
57,02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,ae7c2d,Yes,,REM Yes,,,REM Yes,,
58,02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,ae7c2d,Yes,,REM Yes,,,REM Yes,,
59,01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,ae7c2d,Yes,,REM Yes,,,REM Yes,,
60,03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,ae7c2d,Yes,,REM Yes,,,REM Yes,,
61,02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,ae7c2d,Yes,,REM Yes,,,REM Yes,,
62,02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,ae7c2d,Yes,,REM Yes,,,REM Yes,,
63,03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,ae7c2d,Yes,,REM Yes,,,REM Yes,,
64,02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,180ef9,No,,INP Yes,,,INP Yes,,
65,01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,180ef9,No,,INP Yes,,,INP Yes,,
66,03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,180ef9,No,,INP Yes,,,INP Yes,,
67,02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,180ef9,No,,INP Yes,,,INP Yes,,
68,03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,180ef9,No,,INP Yes,,,INP Yes,,
69,02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,180ef9,No,,INP Yes,,,INP Yes,,
70,02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,180ef9,No,,INP Yes,,,INP Yes,,
71,01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,180ef9,No,,INP Yes,,,INP Yes,,
72,02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,19e198,No,,INP No,,,INP No,,
73,02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,19e198,No,,INP No,,,INP No,,
74,02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,19e198,No,,INP Yes,,,INP Yes,,
75,03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,19e198,No,,INP Yes,,,INP Yes,,
76,03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,19e198,No,,INP No,,,INP Yes,,
77,01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,19e198,No,,INP No,,,INP No,,
78,02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,19e198,No,,INP No,,,INP No,,
79,01/18/2021-01/24/2021,35213,DS,Foundations of Data Science,a6013e,No,,INP No,,,INP No,,
80,03/08/2021-03/14/2021,35213,DS,Foundations of Data Science,a6013e,No,,INP Yes,,,INP Yes,,
81,02/01/2021-02/07/2021,35213,DS,Foundations of Data Science,a6013e,No,,INP No,,,INP No,,
82,03/01/2021-03/07/2021,35213,DS,Foundations of Data Science,a6013e,No,,INP Yes,,,INP Yes,,
83,02/15/2021-02/21/2021,35213,DS,Foundations of Data Science,a6013e,No,,INP Yes,,,INP Yes,,
