Week,CRN,Subject,Course Name,Student ID,Remote Learner,Mon,Tue,Wed,Thu,Fri,Sat,Sun
02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,226866548,Yes,,REM Yes,,,REM Yes,,
02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,226866548,Yes,,REM Yes,,,REM Yes,,
02/08/2021-02/14/2021,35213,DS,Foundations of Data Science,299008771,No,,INP Yes,,,INP Yes,,
02/01/2021-02/07/2021,35213,DS,Foundations of Data Science,299008771,No,,INP Yes,,,INP Yes,,
02/15/2021-02/21/2021,35213,DS,Foundations of Data Science,299008771,No,,INP No,,,INP No,,
03/08/2021-03/14/2021,35213,DS,Foundations of Data Science,299008771,No,,INP Yes,,,INP Yes,,
01/18/2021-01/24/2021,35213,DS,Foundations of Data Science,299008771,No,,INP Yes,,,INP Yes,,
01/25/2021-01/31/2021,35213,DS,Foundations of Data Science,299008771,No,,INP Yes,,,INP Yes,,
02/22/2021-02/28/2021,35213,DS,Foundations of Data Science,299008771,No,,INP Yes,,,INP Yes,,
03/01/2021-03/07/2021,35213,DS,Foundations of Data Science,299008771,No,,INP Yes,,,INP Yes,,
02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,627487328,No,,INP Yes,,,INP Yes,,
02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,627487328,No,,INP Yes,,,INP Yes,,
01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,627487328,No,,INP No,,,INP No,,
01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,627487328,No,,INP Yes,,,INP Yes,,
02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,627487328,No,,INP Yes,,,INP Yes,,
02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,627487328,No,,INP Yes,,,INP Yes,,
03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,627487328,No,,INP Yes,,,INP Yes,,
03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,627487328,No,,INP Yes,,,INP Yes,,
01/25/2021-01/31/2021,35213,DS,Foundations of Data Science,773332798,Yes,,REM Yes,,,REM Yes,,
02/01/2021-02/07/2021,35213,DS,Foundations of Data Science,773332798,Yes,,REM Yes,,,REM Yes,,
02/08/2021-02/14/2021,35213,DS,Foundations of Data Science,773332798,Yes,,REM Yes,,,REM Yes,,
03/08/2021-03/14/2021,35213,DS,Foundations of Data Science,773332798,Yes,,REM Yes,,,REM Yes,,
03/01/2021-03/07/2021,35213,DS,Foundations of Data Science,773332798,Yes,,REM Yes,,,REM Yes,,
01/18/2021-01/24/2021,35213,DS,Foundations of Data Science,773332798,Yes,,REM Yes,,,REM Yes,,
02/15/2021-02/21/2021,35213,DS,Foundations of Data Science,773332798,Yes,,REM Yes,,,REM Yes,,
02/22/2021-02/28/2021,35213,DS,Foundations of Data Science,773332798,Yes,,REM Yes,,,REM Yes,,
02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,73116247,No,,INP Yes,,,INP Yes,,
03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,73116247,No,,INP Yes,,,INP Yes,,
02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,73116247,No,,INP Yes,,,INP Yes,,
02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,73116247,No,,INP Yes,,,INP Yes,,
02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,73116247,No,,INP No,,,INP No,,
01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,73116247,No,,INP No,,,INP No,,
01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,73116247,No,,INP No,,,INP No,,
03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,73116247,No,,INP Yes,,,INP Yes,,
01/18/2021-01/24/2021,35213,DS,Foundations of Data Science,565799062,No,,INP No,,,INP No,,
02/22/2021-02/28/2021,35213,DS,Foundations of Data Science,565799062,No,,INP Yes,,,INP Yes,,
01/25/2021-01/31/2021,35213,DS,Foundations of Data Science,565799062,No,,INP No,,,INP No,,
02/01/2021-02/07/2021,35213,DS,Foundations of Data Science,565799062,No,,INP No,,,INP No,,
02/08/2021-02/14/2021,35213,DS,Foundations of Data Science,565799062,No,,INP Yes,,,INP Yes,,
03/08/2021-03/14/2021,35213,DS,Foundations of Data Science,565799062,No,,INP Yes,,,INP Yes,,
03/01/2021-03/07/2021,35213,DS,Foundations of Data Science,565799062,No,,INP Yes,,,INP Yes,,
02/15/2021-02/21/2021,35213,DS,Foundations of Data Science,565799062,No,,INP Yes,,,INP Yes,,
03/08/2021-03/14/2021,35213,DS,Foundations of Data Science,885122494,Yes,,REM Yes,,,REM Yes,,
01/25/2021-01/31/2021,35213,DS,Foundations of Data Science,885122494,Yes,,REM Yes,,,REM Yes,,
02/08/2021-02/14/2021,35213,DS,Foundations of Data Science,885122494,Yes,,REM Yes,,,REM Yes,,
01/18/2021-01/24/2021,35213,DS,Foundations of Data Science,885122494,Yes,,REM Yes,,,REM Yes,,
02/01/2021-02/07/2021,35213,DS,Foundations of Data Science,885122494,Yes,,REM Yes,,,REM Yes,,
03/01/2021-03/07/2021,35213,DS,Foundations of Data Science,885122494,Yes,,REM Yes,,,REM Yes,,
02/22/2021-02/28/2021,35213,DS,Foundations of Data Science,885122494,Yes,,REM Yes,,,REM Yes,,
02/15/2021-02/21/2021,35213,DS,Foundations of Data Science,885122494,Yes,,REM Yes,,,REM Yes,,
03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,82434170,No,,INP Yes,,,INP Yes,,
01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,82434170,No,,INP No,,,INP No,,
03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,82434170,No,,INP Yes,,,INP Yes,,
02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,82434170,No,,INP Yes,,,INP Yes,,
01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,82434170,No,,INP Yes,,,INP Yes,,
02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,82434170,No,,INP No,,,INP No,,
02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,82434170,No,,INP Yes,,,INP Yes,,
02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,82434170,No,,INP Yes,,,INP Yes,,
02/08/2021-02/14/2021,35213,DS,Foundations of Data Science,506872400,Yes,,REM Yes,,,REM Yes,,
01/18/2021-01/24/2021,35213,DS,Foundations of Data Science,506872400,Yes,,REM Yes,,,REM Yes,,
02/01/2021-02/07/2021,35213,DS,Foundations of Data Science,506872400,Yes,,REM Yes,,,REM Yes,,
03/08/2021-03/14/2021,35213,DS,Foundations of Data Science,506872400,Yes,,REM Yes,,,REM Yes,,
01/25/2021-01/31/2021,35213,DS,Foundations of Data Science,506872400,Yes,,REM Yes,,,REM Yes,,
03/01/2021-03/07/2021,35213,DS,Foundations of Data Science,506872400,Yes,,REM Yes,,,REM Yes,,
02/22/2021-02/28/2021,35213,DS,Foundations of Data Science,506872400,Yes,,REM Yes,,,REM Yes,,
02/15/2021-02/21/2021,35213,DS,Foundations of Data Science,506872400,Yes,,REM Yes,,,REM Yes,,
03/01/2021-03/07/2021,35213,DS,Foundations of Data Science,446877022,No,,INP No,,,INP No,,
02/01/2021-02/07/2021,35213,DS,Foundations of Data Science,446877022,No,,INP Yes,,,INP Yes,,
02/08/2021-02/14/2021,35213,DS,Foundations of Data Science,446877022,No,,INP Yes,,,INP Yes,,
01/18/2021-01/24/2021,35213,DS,Foundations of Data Science,446877022,No,,INP Yes,,,INP Yes,,
03/08/2021-03/14/2021,35213,DS,Foundations of Data Science,446877022,No,,INP Yes,,,INP Yes,,
02/22/2021-02/28/2021,35213,DS,Foundations of Data Science,446877022,No,,INP Yes,,,INP Yes,,
02/15/2021-02/21/2021,35213,DS,Foundations of Data Science,446877022,No,,INP Yes,,,INP Yes,,
01/25/2021-01/31/2021,35213,DS,Foundations of Data Science,446877022,No,,INP Yes,,,INP Yes,,
